kind,player,date,name,calls,total_ms,avg_ms,max_ms
frame,lgw,Year 1, summer 2, Tuesday,5474,16.7
frame,lgw,Year 1, summer 2, Tuesday,5475,16.7
frame,lgw,Year 1, summer 2, Tuesday,5476,16.7
frame,lgw,Year 1, summer 2, Tuesday,5477,16.7
frame,lgw,Year 1, summer 2, Tuesday,5478,16.9
frame,lgw,Year 1, summer 2, Tuesday,5479,16.7
frame,lgw,Year 1, summer 2, Tuesday,5480,16.5
frame,lgw,Year 1, summer 2, Tuesday,5481,16.6
frame,lgw,Year 1, summer 2, Tuesday,5482,16.7
frame,lgw,Year 1, summer 2, Tuesday,5483,16.6
frame,lgw,Year 1, summer 2, Tuesday,5484,16.7
frame,lgw,Year 1, summer 2, Tuesday,5485,16.7
frame,lgw,Year 1, summer 2, Tuesday,5486,16.9
frame,lgw,Year 1, summer 2, Tuesday,5487,16.6
frame,lgw,Year 1, summer 2, Tuesday,5488,16.6
frame,lgw,Year 1, summer 2, Tuesday,5489,16.5
frame,lgw,Year 1, summer 2, Tuesday,5490,16.7
frame,lgw,Year 1, summer 2, Tuesday,5491,20.1
frame,lgw,Year 1, summer 2, Tuesday,5492,13.5
frame,lgw,Year 1, summer 2, Tuesday,5493,16.4
frame,lgw,Year 1, summer 2, Tuesday,5494,16.6
frame,lgw,Year 1, summer 2, Tuesday,5495,16.7
frame,lgw,Year 1, summer 2, Tuesday,5496,16.9
frame,lgw,Year 1, summer 2, Tuesday,5497,16.4
frame,lgw,Year 1, summer 2, Tuesday,5498,16.6
frame,lgw,Year 1, summer 2, Tuesday,5499,16.7
frame,lgw,Year 1, summer 2, Tuesday,5500,16.7
frame,lgw,Year 1, summer 2, Tuesday,5501,16.5
frame,lgw,Year 1, summer 2, Tuesday,5502,16.7
frame,lgw,Year 1, summer 2, Tuesday,5503,16.8
frame,lgw,Year 1, summer 2, Tuesday,5504,16.6
frame,lgw,Year 1, summer 2, Tuesday,5505,16.6
frame,lgw,Year 1, summer 2, Tuesday,5506,17.2
frame,lgw,Year 1, summer 2, Tuesday,5507,16.1
frame,lgw,Year 1, summer 2, Tuesday,5508,16.7
frame,lgw,Year 1, summer 2, Tuesday,5509,16.8
frame,lgw,Year 1, summer 2, Tuesday,5510,16.5
frame,lgw,Year 1, summer 2, Tuesday,5511,16.7
frame,lgw,Year 1, summer 2, Tuesday,5512,16.8
frame,lgw,Year 1, summer 2, Tuesday,5513,16.4
frame,lgw,Year 1, summer 2, Tuesday,5514,16.8
frame,lgw,Year 1, summer 2, Tuesday,5515,16.6
frame,lgw,Year 1, summer 2, Tuesday,5516,16.7
frame,lgw,Year 1, summer 2, Tuesday,5517,16.7
frame,lgw,Year 1, summer 2, Tuesday,5518,16.7
frame,lgw,Year 1, summer 2, Tuesday,5519,16.6
frame,lgw,Year 1, summer 2, Tuesday,5520,16.8
frame,lgw,Year 1, summer 2, Tuesday,5521,17.7
frame,lgw,Year 1, summer 2, Tuesday,5522,15.5
frame,lgw,Year 1, summer 2, Tuesday,5523,16.8
