kind,player,date,name,calls,total_ms,avg_ms,max_ms
frame,lgw,Year 1, spring 4, Thursday,5388,16.6
frame,lgw,Year 1, spring 4, Thursday,5389,16.6
frame,lgw,Year 1, spring 4, Thursday,5390,16.7
frame,lgw,Year 1, spring 4, Thursday,5391,16.7
frame,lgw,Year 1, spring 4, Thursday,5392,16.6
frame,lgw,Year 1, spring 4, Thursday,5393,16.7
frame,lgw,Year 1, spring 4, Thursday,5394,16.7
frame,lgw,Year 1, spring 4, Thursday,5395,65.6
frame,lgw,Year 1, spring 4, Thursday,5396,2.3
frame,lgw,Year 1, spring 4, Thursday,5397,0.6
frame,lgw,Year 1, spring 4, Thursday,5398,0.2
frame,lgw,Year 1, spring 4, Thursday,5399,14.6
frame,lgw,Year 1, spring 4, Thursday,5400,17.0
frame,lgw,Year 1, spring 4, Thursday,5401,16.4
frame,lgw,Year 1, spring 4, Thursday,5402,16.8
frame,lgw,Year 1, spring 4, Thursday,5403,16.5
frame,lgw,Year 1, spring 4, Thursday,5404,16.7
frame,lgw,Year 1, spring 4, Thursday,5405,16.6
frame,lgw,Year 1, spring 4, Thursday,5406,16.7
frame,lgw,Year 1, spring 4, Thursday,5407,17.0
frame,lgw,Year 1, spring 4, Thursday,5408,16.4
frame,lgw,Year 1, spring 4, Thursday,5409,16.6
frame,lgw,Year 1, spring 4, Thursday,5410,16.7
frame,lgw,Year 1, spring 4, Thursday,5411,16.7
frame,lgw,Year 1, spring 4, Thursday,5412,16.6
frame,lgw,Year 1, spring 4, Thursday,5413,16.8
frame,lgw,Year 1, spring 4, Thursday,5414,16.6
frame,lgw,Year 1, spring 4, Thursday,5415,16.6
frame,lgw,Year 1, spring 4, Thursday,5416,16.6
frame,lgw,Year 1, spring 4, Thursday,5417,16.6
frame,lgw,Year 1, spring 4, Thursday,5418,16.8
frame,lgw,Year 1, spring 4, Thursday,5419,16.6
frame,lgw,Year 1, spring 4, Thursday,5420,16.6
frame,lgw,Year 1, spring 4, Thursday,5421,16.7
frame,lgw,Year 1, spring 4, Thursday,5422,16.7
frame,lgw,Year 1, spring 4, Thursday,5423,16.7
frame,lgw,Year 1, spring 4, Thursday,5424,16.7
frame,lgw,Year 1, spring 4, Thursday,5425,16.7
frame,lgw,Year 1, spring 4, Thursday,5426,16.6
frame,lgw,Year 1, spring 4, Thursday,5427,16.7
frame,lgw,Year 1, spring 4, Thursday,5428,16.6
frame,lgw,Year 1, spring 4, Thursday,5429,16.6
frame,lgw,Year 1, spring 4, Thursday,5430,16.7
frame,lgw,Year 1, spring 4, Thursday,5431,16.7
frame,lgw,Year 1, spring 4, Thursday,5432,16.7
frame,lgw,Year 1, spring 4, Thursday,5433,19.4
frame,lgw,Year 1, spring 4, Thursday,5434,20.8
frame,lgw,Year 1, spring 4, Thursday,5435,9.8
frame,lgw,Year 1, spring 4, Thursday,5436,16.7
frame,lgw,Year 1, spring 4, Thursday,5437,16.7
frame,lgw,Year 1, spring 4, Thursday,5438,16.7
frame,lgw,Year 1, spring 4, Thursday,5439,16.7
frame,lgw,Year 1, spring 4, Thursday,5440,16.7
frame,lgw,Year 1, spring 4, Thursday,5441,16.6
frame,lgw,Year 1, spring 4, Thursday,5442,16.6
frame,lgw,Year 1, spring 4, Thursday,5443,16.7
frame,lgw,Year 1, spring 4, Thursday,5444,16.7
frame,lgw,Year 1, spring 4, Thursday,5445,16.7
frame,lgw,Year 1, spring 4, Thursday,5446,16.7
frame,lgw,Year 1, spring 4, Thursday,5447,16.6
frame,lgw,Year 1, spring 4, Thursday,5448,16.7
frame,lgw,Year 1, spring 4, Thursday,5449,16.7
frame,lgw,Year 1, spring 4, Thursday,5450,16.6
frame,lgw,Year 1, spring 4, Thursday,5451,16.7
frame,lgw,Year 1, spring 4, Thursday,5452,16.7
frame,lgw,Year 1, spring 4, Thursday,5453,16.6
frame,lgw,Year 1, spring 4, Thursday,5454,16.7
frame,lgw,Year 1, spring 4, Thursday,5455,16.7
frame,lgw,Year 1, spring 4, Thursday,5456,16.7
frame,lgw,Year 1, spring 4, Thursday,5457,16.8
frame,lgw,Year 1, spring 4, Thursday,5458,16.6
frame,lgw,Year 1, spring 4, Thursday,5459,16.6
frame,lgw,Year 1, spring 4, Thursday,5460,16.7
frame,lgw,Year 1, spring 4, Thursday,5461,16.7
frame,lgw,Year 1, spring 4, Thursday,5462,16.7
frame,lgw,Year 1, spring 4, Thursday,5463,16.5
frame,lgw,Year 1, spring 4, Thursday,5464,16.8
frame,lgw,Year 1, spring 4, Thursday,5465,16.6
frame,lgw,Year 1, spring 4, Thursday,5466,16.7
frame,lgw,Year 1, spring 4, Thursday,5467,16.9
frame,lgw,Year 1, spring 4, Thursday,5468,16.4
frame,lgw,Year 1, spring 4, Thursday,5469,16.7
frame,lgw,Year 1, spring 4, Thursday,5470,16.8
