kind,player,date,name,calls,total_ms,avg_ms,max_ms
frame,lgw,Year 1, spring 5, Friday,4315,16.6
frame,lgw,Year 1, spring 5, Friday,4316,16.7
frame,lgw,Year 1, spring 5, Friday,4317,16.7
frame,lgw,Year 1, spring 5, Friday,4318,16.7
frame,lgw,Year 1, spring 5, Friday,4319,16.7
frame,lgw,Year 1, spring 5, Friday,4320,16.6
frame,lgw,Year 1, spring 5, Friday,4321,16.8
frame,lgw,Year 1, spring 5, Friday,4322,16.6
frame,lgw,Year 1, spring 5, Friday,4323,17.5
frame,lgw,Year 1, spring 5, Friday,4324,16.1
frame,lgw,Year 1, spring 5, Friday,4325,16.5
frame,lgw,Year 1, spring 5, Friday,4326,16.7
frame,lgw,Year 1, spring 5, Friday,4327,16.6
frame,lgw,Year 1, spring 5, Friday,4328,16.7
frame,lgw,Year 1, spring 5, Friday,4329,17.3
frame,lgw,Year 1, spring 5, Friday,4330,16.0
frame,lgw,Year 1, spring 5, Friday,4331,16.7
frame,lgw,Year 1, spring 5, Friday,4332,16.6
frame,lgw,Year 1, spring 5, Friday,4333,16.7
frame,lgw,Year 1, spring 5, Friday,4334,16.7
frame,lgw,Year 1, spring 5, Friday,4335,16.7
frame,lgw,Year 1, spring 5, Friday,4336,16.7
frame,lgw,Year 1, spring 5, Friday,4337,16.7
frame,lgw,Year 1, spring 5, Friday,4338,16.7
frame,lgw,Year 1, spring 5, Friday,4339,16.7
frame,lgw,Year 1, spring 5, Friday,4340,16.7
frame,lgw,Year 1, spring 5, Friday,4341,16.7
frame,lgw,Year 1, spring 5, Friday,4342,16.6
frame,lgw,Year 1, spring 5, Friday,4343,16.6
frame,lgw,Year 1, spring 5, Friday,4344,16.7
frame,lgw,Year 1, spring 5, Friday,4345,16.7
frame,lgw,Year 1, spring 5, Friday,4346,16.6
frame,lgw,Year 1, spring 5, Friday,4347,16.8
frame,lgw,Year 1, spring 5, Friday,4348,16.6
frame,lgw,Year 1, spring 5, Friday,4349,16.7
frame,lgw,Year 1, spring 5, Friday,4350,16.6
frame,lgw,Year 1, spring 5, Friday,4351,16.8
frame,lgw,Year 1, spring 5, Friday,4352,17.2
frame,lgw,Year 1, spring 5, Friday,4353,16.2
frame,lgw,Year 1, spring 5, Friday,4354,16.6
frame,lgw,Year 1, spring 5, Friday,4355,16.6
frame,lgw,Year 1, spring 5, Friday,4356,17.7
frame,lgw,Year 1, spring 5, Friday,4357,15.6
frame,lgw,Year 1, spring 5, Friday,4358,16.7
frame,lgw,Year 1, spring 5, Friday,4359,17.2
frame,lgw,Year 1, spring 5, Friday,4360,16.1
frame,lgw,Year 1, spring 5, Friday,4361,16.7
frame,lgw,Year 1, spring 5, Friday,4362,16.7
frame,lgw,Year 1, spring 5, Friday,4363,16.6
frame,lgw,Year 1, spring 5, Friday,4364,16.7
frame,lgw,Year 1, spring 5, Friday,4365,16.6
frame,lgw,Year 1, spring 5, Friday,4366,16.7
frame,lgw,Year 1, spring 5, Friday,4367,16.8
frame,lgw,Year 1, spring 5, Friday,4368,16.5
frame,lgw,Year 1, spring 5, Friday,4369,16.8
frame,lgw,Year 1, spring 5, Friday,4370,16.6
frame,lgw,Year 1, spring 5, Friday,4371,16.7
frame,lgw,Year 1, spring 5, Friday,4372,16.5
frame,lgw,Year 1, spring 5, Friday,4373,16.6
frame,lgw,Year 1, spring 5, Friday,4374,16.7
frame,lgw,Year 1, spring 5, Friday,4375,16.7
frame,lgw,Year 1, spring 5, Friday,4376,16.7
frame,lgw,Year 1, spring 5, Friday,4377,18.4
frame,lgw,Year 1, spring 5, Friday,4378,15.0
frame,lgw,Year 1, spring 5, Friday,4379,18.3
frame,lgw,Year 1, spring 5, Friday,4380,15.1
frame,lgw,Year 1, spring 5, Friday,4381,29.4
frame,lgw,Year 1, spring 5, Friday,4382,12.4
frame,lgw,Year 1, spring 5, Friday,4383,9.7
frame,lgw,Year 1, spring 5, Friday,4384,15.1
frame,lgw,Year 1, spring 5, Friday,4385,18.0
frame,lgw,Year 1, spring 5, Friday,4386,15.4
frame,lgw,Year 1, spring 5, Friday,4387,16.6
frame,lgw,Year 1, spring 5, Friday,4388,16.7
frame,lgw,Year 1, spring 5, Friday,4389,17.0
frame,lgw,Year 1, spring 5, Friday,4390,16.6
frame,lgw,Year 1, spring 5, Friday,4391,16.5
frame,lgw,Year 1, spring 5, Friday,4392,16.7
frame,lgw,Year 1, spring 5, Friday,4393,16.6
frame,lgw,Year 1, spring 5, Friday,4394,16.6
frame,lgw,Year 1, spring 5, Friday,4395,16.7
frame,lgw,Year 1, spring 5, Friday,4396,19.7
frame,lgw,Year 1, spring 5, Friday,4397,13.6
frame,lgw,Year 1, spring 5, Friday,4398,16.7
frame,lgw,Year 1, spring 5, Friday,4399,16.7
frame,lgw,Year 1, spring 5, Friday,4400,16.7
