kind,player,date,name,calls,total_ms,avg_ms,max_ms
frame,lgw,Year 1, spring 7, Sunday,4302,15.6
frame,lgw,Year 1, spring 7, Sunday,4303,16.8
frame,lgw,Year 1, spring 7, Sunday,4304,16.6
frame,lgw,Year 1, spring 7, Sunday,4305,16.6
frame,lgw,Year 1, spring 7, Sunday,4306,16.7
frame,lgw,Year 1, spring 7, Sunday,4307,16.8
frame,lgw,Year 1, spring 7, Sunday,4308,17.5
frame,lgw,Year 1, spring 7, Sunday,4309,15.7
frame,lgw,Year 1, spring 7, Sunday,4310,16.8
frame,lgw,Year 1, spring 7, Sunday,4311,17.3
frame,lgw,Year 1, spring 7, Sunday,4312,16.0
frame,lgw,Year 1, spring 7, Sunday,4313,16.7
frame,lgw,Year 1, spring 7, Sunday,4314,16.6
frame,lgw,Year 1, spring 7, Sunday,4315,17.2
frame,lgw,Year 1, spring 7, Sunday,4316,16.1
frame,lgw,Year 1, spring 7, Sunday,4317,17.0
frame,lgw,Year 1, spring 7, Sunday,4318,17.1
frame,lgw,Year 1, spring 7, Sunday,4319,15.8
frame,lgw,Year 1, spring 7, Sunday,4320,16.7
frame,lgw,Year 1, spring 7, Sunday,4321,17.0
frame,lgw,Year 1, spring 7, Sunday,4322,16.3
frame,lgw,Year 1, spring 7, Sunday,4323,16.7
frame,lgw,Year 1, spring 7, Sunday,4324,16.6
frame,lgw,Year 1, spring 7, Sunday,4325,16.8
frame,lgw,Year 1, spring 7, Sunday,4326,28.4
frame,lgw,Year 1, spring 7, Sunday,4327,11.2
frame,lgw,Year 1, spring 7, Sunday,4328,10.3
frame,lgw,Year 1, spring 7, Sunday,4329,16.7
frame,lgw,Year 1, spring 7, Sunday,4330,16.7
frame,lgw,Year 1, spring 7, Sunday,4331,16.8
frame,lgw,Year 1, spring 7, Sunday,4332,16.7
frame,lgw,Year 1, spring 7, Sunday,4333,16.5
frame,lgw,Year 1, spring 7, Sunday,4334,16.7
frame,lgw,Year 1, spring 7, Sunday,4335,16.8
frame,lgw,Year 1, spring 7, Sunday,4336,16.6
frame,lgw,Year 1, spring 7, Sunday,4337,16.5
frame,lgw,Year 1, spring 7, Sunday,4338,16.9
frame,lgw,Year 1, spring 7, Sunday,4339,17.6
frame,lgw,Year 1, spring 7, Sunday,4340,17.3
frame,lgw,Year 1, spring 7, Sunday,4341,22.4
frame,lgw,Year 1, spring 7, Sunday,4342,9.8
frame,lgw,Year 1, spring 7, Sunday,4343,16.0
frame,lgw,Year 1, spring 7, Sunday,4344,16.7
frame,lgw,Year 1, spring 7, Sunday,4345,16.6
frame,lgw,Year 1, spring 7, Sunday,4346,16.7
frame,lgw,Year 1, spring 7, Sunday,4347,16.8
frame,lgw,Year 1, spring 7, Sunday,4348,16.7
frame,lgw,Year 1, spring 7, Sunday,4349,16.6
frame,lgw,Year 1, spring 7, Sunday,4350,16.6
frame,lgw,Year 1, spring 7, Sunday,4351,16.7
frame,lgw,Year 1, spring 7, Sunday,4352,16.7
frame,lgw,Year 1, spring 7, Sunday,4353,16.7
frame,lgw,Year 1, spring 7, Sunday,4354,17.1
frame,lgw,Year 1, spring 7, Sunday,4355,16.1
frame,lgw,Year 1, spring 7, Sunday,4356,16.6
frame,lgw,Year 1, spring 7, Sunday,4357,16.8
frame,lgw,Year 1, spring 7, Sunday,4358,16.5
frame,lgw,Year 1, spring 7, Sunday,4359,16.7
frame,lgw,Year 1, spring 7, Sunday,4360,16.8
frame,lgw,Year 1, spring 7, Sunday,4361,16.5
frame,lgw,Year 1, spring 7, Sunday,4362,17.0
frame,lgw,Year 1, spring 7, Sunday,4363,16.2
frame,lgw,Year 1, spring 7, Sunday,4364,16.8
frame,lgw,Year 1, spring 7, Sunday,4365,17.3
frame,lgw,Year 1, spring 7, Sunday,4366,16.0
frame,lgw,Year 1, spring 7, Sunday,4367,16.7
frame,lgw,Year 1, spring 7, Sunday,4368,16.6
frame,lgw,Year 1, spring 7, Sunday,4369,16.7
frame,lgw,Year 1, spring 7, Sunday,4370,38.6
frame,lgw,Year 1, spring 7, Sunday,4371,2.5
frame,lgw,Year 1, spring 7, Sunday,4372,8.9
frame,lgw,Year 1, spring 7, Sunday,4373,16.8
frame,lgw,Year 1, spring 7, Sunday,4374,17.4
frame,lgw,Year 1, spring 7, Sunday,4375,15.8
frame,lgw,Year 1, spring 7, Sunday,4376,16.7
frame,lgw,Year 1, spring 7, Sunday,4377,16.6
frame,lgw,Year 1, spring 7, Sunday,4378,18.0
frame,lgw,Year 1, spring 7, Sunday,4379,15.4
frame,lgw,Year 1, spring 7, Sunday,4380,16.7
frame,lgw,Year 1, spring 7, Sunday,4381,16.7
frame,lgw,Year 1, spring 7, Sunday,4382,16.6
frame,lgw,Year 1, spring 7, Sunday,4383,16.9
frame,lgw,Year 1, spring 7, Sunday,4384,17.4
frame,lgw,Year 1, spring 7, Sunday,4385,15.7
frame,lgw,Year 1, spring 7, Sunday,4386,16.7
frame,lgw,Year 1, spring 7, Sunday,4387,18.9
frame,lgw,Year 1, spring 7, Sunday,4388,14.3
frame,lgw,Year 1, spring 7, Sunday,4389,16.7
frame,lgw,Year 1, spring 7, Sunday,4390,16.7
frame,lgw,Year 1, spring 7, Sunday,4391,16.6
frame,lgw,Year 1, spring 7, Sunday,4392,16.7
