kind,player,date,name,calls,total_ms,avg_ms,max_ms
frame,lgw,Year 1, spring 18, Thursday,5406,21.9
frame,lgw,Year 1, spring 18, Thursday,5407,20.9
frame,lgw,Year 1, spring 18, Thursday,5408,0.1
frame,lgw,Year 1, spring 18, Thursday,5409,20.9
frame,lgw,Year 1, spring 18, Thursday,5410,20.9
frame,lgw,Year 1, spring 18, Thursday,5411,20.9
frame,lgw,Year 1, spring 18, Thursday,5412,21.1
frame,lgw,Year 1, spring 18, Thursday,5413,0.1
frame,lgw,Year 1, spring 18, Thursday,5414,20.9
frame,lgw,Year 1, spring 18, Thursday,5415,21.8
frame,lgw,Year 1, spring 18, Thursday,5416,21.1
frame,lgw,Year 1, spring 18, Thursday,5417,0.1
frame,lgw,Year 1, spring 18, Thursday,5418,20.6
frame,lgw,Year 1, spring 18, Thursday,5419,21.2
frame,lgw,Year 1, spring 18, Thursday,5420,21.3
frame,lgw,Year 1, spring 18, Thursday,5421,21.0
frame,lgw,Year 1, spring 18, Thursday,5422,0.2
frame,lgw,Year 1, spring 18, Thursday,5423,21.0
frame,lgw,Year 1, spring 18, Thursday,5424,20.8
frame,lgw,Year 1, spring 18, Thursday,5425,21.3
frame,lgw,Year 1, spring 18, Thursday,5426,20.8
frame,lgw,Year 1, spring 18, Thursday,5427,0.1
frame,lgw,Year 1, spring 18, Thursday,5428,21.0
frame,lgw,Year 1, spring 18, Thursday,5429,21.5
frame,lgw,Year 1, spring 18, Thursday,5430,20.7
frame,lgw,Year 1, spring 18, Thursday,5431,21.1
frame,lgw,Year 1, spring 18, Thursday,5432,0.1
frame,lgw,Year 1, spring 18, Thursday,5433,21.8
frame,lgw,Year 1, spring 18, Thursday,5434,21.2
frame,lgw,Year 1, spring 18, Thursday,5435,21.1
frame,lgw,Year 1, spring 18, Thursday,5436,0.1
frame,lgw,Year 1, spring 18, Thursday,5437,21.4
frame,lgw,Year 1, spring 18, Thursday,5438,21.2
frame,lgw,Year 1, spring 18, Thursday,5439,21.3
frame,lgw,Year 1, spring 18, Thursday,5440,20.8
frame,lgw,Year 1, spring 18, Thursday,5441,0.1
frame,lgw,Year 1, spring 18, Thursday,5442,20.8
frame,lgw,Year 1, spring 18, Thursday,5443,21.1
frame,lgw,Year 1, spring 18, Thursday,5444,20.8
frame,lgw,Year 1, spring 18, Thursday,5445,21.2
frame,lgw,Year 1, spring 18, Thursday,5446,0.1
frame,lgw,Year 1, spring 18, Thursday,5447,22.0
frame,lgw,Year 1, spring 18, Thursday,5448,21.1
frame,lgw,Year 1, spring 18, Thursday,5449,21.5
frame,lgw,Year 1, spring 18, Thursday,5450,0.2
frame,lgw,Year 1, spring 18, Thursday,5451,21.9
frame,lgw,Year 1, spring 18, Thursday,5452,20.9
frame,lgw,Year 1, spring 18, Thursday,5453,21.0
frame,lgw,Year 1, spring 18, Thursday,5454,21.4
frame,lgw,Year 1, spring 18, Thursday,5455,0.1
frame,lgw,Year 1, spring 18, Thursday,5456,21.4
frame,lgw,Year 1, spring 18, Thursday,5457,21.6
frame,lgw,Year 1, spring 18, Thursday,5458,21.1
frame,lgw,Year 1, spring 18, Thursday,5459,0.1
frame,lgw,Year 1, spring 18, Thursday,5460,20.8
frame,lgw,Year 1, spring 18, Thursday,5461,21.0
frame,lgw,Year 1, spring 18, Thursday,5462,21.9
frame,lgw,Year 1, spring 18, Thursday,5463,21.4
frame,lgw,Year 1, spring 18, Thursday,5464,0.1
frame,lgw,Year 1, spring 18, Thursday,5465,21.1
frame,lgw,Year 1, spring 18, Thursday,5466,20.9
frame,lgw,Year 1, spring 18, Thursday,5467,21.2
frame,lgw,Year 1, spring 18, Thursday,5468,21.3
frame,lgw,Year 1, spring 18, Thursday,5469,0.1
frame,lgw,Year 1, spring 18, Thursday,5470,21.4
frame,lgw,Year 1, spring 18, Thursday,5471,20.8
frame,lgw,Year 1, spring 18, Thursday,5472,20.8
frame,lgw,Year 1, spring 18, Thursday,5473,0.1
frame,lgw,Year 1, spring 18, Thursday,5474,21.7
frame,lgw,Year 1, spring 18, Thursday,5475,21.4
frame,lgw,Year 1, spring 18, Thursday,5476,21.0
frame,lgw,Year 1, spring 18, Thursday,5477,20.8
frame,lgw,Year 1, spring 18, Thursday,5478,0.2
frame,lgw,Year 1, spring 18, Thursday,5479,21.4
frame,lgw,Year 1, spring 18, Thursday,5480,21.0
frame,lgw,Year 1, spring 18, Thursday,5481,21.6
frame,lgw,Year 1, spring 18, Thursday,5482,21.4
frame,lgw,Year 1, spring 18, Thursday,5483,0.2
frame,lgw,Year 1, spring 18, Thursday,5484,21.2
frame,lgw,Year 1, spring 18, Thursday,5485,21.4
frame,lgw,Year 1, spring 18, Thursday,5486,21.4
frame,lgw,Year 1, spring 18, Thursday,5487,0.2
frame,lgw,Year 1, spring 18, Thursday,5488,20.7
frame,lgw,Year 1, spring 18, Thursday,5489,21.0
frame,lgw,Year 1, spring 18, Thursday,5490,20.8
frame,lgw,Year 1, spring 18, Thursday,5491,20.9
