kind,player,date,name,calls,total_ms,avg_ms,max_ms
frame,lgw,Year 1, spring 3, Wednesday,5366,16.7
frame,lgw,Year 1, spring 3, Wednesday,5367,16.7
frame,lgw,Year 1, spring 3, Wednesday,5368,16.8
frame,lgw,Year 1, spring 3, Wednesday,5369,16.4
frame,lgw,Year 1, spring 3, Wednesday,5370,16.7
frame,lgw,Year 1, spring 3, Wednesday,5371,16.8
frame,lgw,Year 1, spring 3, Wednesday,5372,16.7
frame,lgw,Year 1, spring 3, Wednesday,5373,17.0
frame,lgw,Year 1, spring 3, Wednesday,5374,16.2
frame,lgw,Year 1, spring 3, Wednesday,5375,16.8
frame,lgw,Year 1, spring 3, Wednesday,5376,16.6
frame,lgw,Year 1, spring 3, Wednesday,5377,16.7
frame,lgw,Year 1, spring 3, Wednesday,5378,16.7
frame,lgw,Year 1, spring 3, Wednesday,5379,17.6
frame,lgw,Year 1, spring 3, Wednesday,5380,23.6
frame,lgw,Year 1, spring 3, Wednesday,5381,8.8
frame,lgw,Year 1, spring 3, Wednesday,5382,16.6
frame,lgw,Year 1, spring 3, Wednesday,5383,16.7
frame,lgw,Year 1, spring 3, Wednesday,5384,16.6
frame,lgw,Year 1, spring 3, Wednesday,5385,16.8
frame,lgw,Year 1, spring 3, Wednesday,5386,16.6
frame,lgw,Year 1, spring 3, Wednesday,5387,16.6
frame,lgw,Year 1, spring 3, Wednesday,5388,16.8
frame,lgw,Year 1, spring 3, Wednesday,5389,16.5
frame,lgw,Year 1, spring 3, Wednesday,5390,16.7
frame,lgw,Year 1, spring 3, Wednesday,5391,16.6
frame,lgw,Year 1, spring 3, Wednesday,5392,16.7
frame,lgw,Year 1, spring 3, Wednesday,5393,16.7
frame,lgw,Year 1, spring 3, Wednesday,5394,16.7
frame,lgw,Year 1, spring 3, Wednesday,5395,16.7
frame,lgw,Year 1, spring 3, Wednesday,5396,16.6
frame,lgw,Year 1, spring 3, Wednesday,5397,16.7
frame,lgw,Year 1, spring 3, Wednesday,5398,16.8
frame,lgw,Year 1, spring 3, Wednesday,5399,16.6
frame,lgw,Year 1, spring 3, Wednesday,5400,16.7
frame,lgw,Year 1, spring 3, Wednesday,5401,16.7
frame,lgw,Year 1, spring 3, Wednesday,5402,16.8
frame,lgw,Year 1, spring 3, Wednesday,5403,16.5
frame,lgw,Year 1, spring 3, Wednesday,5404,16.6
frame,lgw,Year 1, spring 3, Wednesday,5405,16.7
frame,lgw,Year 1, spring 3, Wednesday,5406,16.9
frame,lgw,Year 1, spring 3, Wednesday,5407,16.8
frame,lgw,Year 1, spring 3, Wednesday,5408,16.5
frame,lgw,Year 1, spring 3, Wednesday,5409,16.5
frame,lgw,Year 1, spring 3, Wednesday,5410,16.7
frame,lgw,Year 1, spring 3, Wednesday,5411,16.7
frame,lgw,Year 1, spring 3, Wednesday,5412,16.7
frame,lgw,Year 1, spring 3, Wednesday,5413,16.7
frame,lgw,Year 1, spring 3, Wednesday,5414,16.7
frame,lgw,Year 1, spring 3, Wednesday,5415,16.7
frame,lgw,Year 1, spring 3, Wednesday,5416,16.7
frame,lgw,Year 1, spring 3, Wednesday,5417,17.0
frame,lgw,Year 1, spring 3, Wednesday,5418,16.8
frame,lgw,Year 1, spring 3, Wednesday,5419,16.2
frame,lgw,Year 1, spring 3, Wednesday,5420,16.8
frame,lgw,Year 1, spring 3, Wednesday,5421,16.7
frame,lgw,Year 1, spring 3, Wednesday,5422,16.6
frame,lgw,Year 1, spring 3, Wednesday,5423,16.7
frame,lgw,Year 1, spring 3, Wednesday,5424,16.6
frame,lgw,Year 1, spring 3, Wednesday,5425,17.0
frame,lgw,Year 1, spring 3, Wednesday,5426,16.4
frame,lgw,Year 1, spring 3, Wednesday,5427,17.8
frame,lgw,Year 1, spring 3, Wednesday,5428,15.5
frame,lgw,Year 1, spring 3, Wednesday,5429,16.7
frame,lgw,Year 1, spring 3, Wednesday,5430,16.6
frame,lgw,Year 1, spring 3, Wednesday,5431,16.6
frame,lgw,Year 1, spring 3, Wednesday,5432,16.8
frame,lgw,Year 1, spring 3, Wednesday,5433,16.5
frame,lgw,Year 1, spring 3, Wednesday,5434,16.7
frame,lgw,Year 1, spring 3, Wednesday,5435,16.6
frame,lgw,Year 1, spring 3, Wednesday,5436,17.8
frame,lgw,Year 1, spring 3, Wednesday,5437,16.6
frame,lgw,Year 1, spring 3, Wednesday,5438,15.6
frame,lgw,Year 1, spring 3, Wednesday,5439,16.9
frame,lgw,Year 1, spring 3, Wednesday,5440,16.4
frame,lgw,Year 1, spring 3, Wednesday,5441,16.7
frame,lgw,Year 1, spring 3, Wednesday,5442,16.7
frame,lgw,Year 1, spring 3, Wednesday,5443,16.8
